"uf","estado","tse","ibge7","nm","ddd"
"SP","SÃO PAULO","70696",3548401,"SANTÓPOLIS DO AGUAPEÍ",18
"SP","SÃO PAULO","71471",3552304,"SUD MENNUCCI",18
"SP","SÃO PAULO","61301",3552551,"SUZANÁPOLIS",18
"SP","SÃO PAULO","70874",3549300,"SÃO JOÃO DO PAU D&apos;ALHO",18
"SP","SÃO PAULO","71595",3552908,"TACIBA",18
"SP","SÃO PAULO","71790",3553906,"TARABAI",18
"SP","SÃO PAULO","61042",3553955,"TARUMÃ",18
"SP","SÃO PAULO","71870",3554300,"TEODORO SAMPAIO",18
"SP","SÃO PAULO","72036",3555109,"TUPI PAULISTA",18
"SP","SÃO PAULO","72052",3555208,"TURIÚBA",18
"SP","SÃO PAULO","72273",3556305,"VALPARAÍSO",18
"SP","SÃO PAULO","61921",3557154,"ZACARIAS",18
"SP","SÃO PAULO","61255",3501301,"ÁLVARES MACHADO",18
