"cdabr","vap","pvap","n"
"71471","1","0,02","14"
"71471","141","3,06","15"
"71471","0","00,00","16"
"71471","0","00,00","80"
"71471","2160","46,93","22"
"71471","1","0,02","27"
"71471","7","0,15","30"
"71471","9","0,20","44"
"71471","0","00,00","21"
"61301","47","2,14","12"
"61301","1145","52,19","13"
"61301","0","00,00","14"
"61301","91","4,15","15"
"61301","0","00,00","16"
"61301","1","0,05","80"
"61301","908","41,39","22"
"61301","0","00,00","27"
"61301","0","00,00","30"
"61301","2","0,09","44"
"61301","0","00,00","21"
"70874","13","0,83","12"
"70874","828","52,81","13"
"70874","1","0,06","14"
"70874","79","5,04","15"
"70874","0","00,00","16"
"70874","0","00,00","80"
"70874","633","40,37","22"
"70874","0","00,00","27"
"70874","7","0,45","30"
"70874","6","0,38","44"
"70874","1","0,06","21"
"71595","76","1,88","12"
"71595","1995","49,34","13"
"71595","3","0,07","14"
"71595","132","3,26","15"
"71595","1","0,02","16"
"71595","1","0,02","80"
"71595","1806","44,67","22"
"71595","1","0,02","27"
"71595","11","0,27","30"
"71595","17","0,42","44"
"71595","0","00,00","21"
"71790","65","1,60","12"
"71790","2154","53,16","13"
"71790","2","0,05","14"
"71790","119","2,94","15"
"71790","1","0,02","16"
"71790","1","0,02","80"
"71790","1679","41,44","22"
"71790","0","00,00","27"
"71790","12","0,30","30"
"71790","18","0,44","44"
"71790","1","0,02","21"
"61042","162","1,81","12"
"61042","3360","37,47","13"
"61042","4","0,04","14"
"61042","308","3,44","15"
"61042","1","0,01","16"
"61042","0","00,00","80"
"61042","5074","56,59","22"
"61042","1","0,01","27"
"61042","24","0,27","30"
"61042","27","0,30","44"
"61042","5","0,06","21"
"71870","193","1,51","12"
"71870","6673","52,18","13"
"71870","8","0,06","14"
"71870","524","4,10","15"
"71870","1","0,01","16"
"71870","3","0,02","80"
"71870","5329","41,67","22"
"71870","0","00,00","27"
"71870","16","0,13","30"
"71870","37","0,29","44"
"71870","4","0,03","21"
"72036","146","1,74","12"
"72036","2755","32,92","13"
"72036","4","0,05","14"
"72036","414","4,95","15"
"72036","3","0,04","16"
"72036","1","0,01","80"
"72036","4972","59,42","22"
"72036","0","00,00","27"
"72036","37","0,44","30"
"72036","32","0,38","44"
"72036","4","0,05","21"
"72052","16","1,29","12"
"72052","426","34,30","13"
"72052","0","00,00","14"
"72052","48","3,86","15"
"72052","0","00,00","16"
"72052","1","0,08","80"
"72052","747","60,14","22"
"72052","1","0,08","27"
"72052","2","0,16","30"
"72052","1","0,08","44"
"72052","0","00,00","21"
"72273","164","1,38","12"
"72273","4517","37,91","13"
"72273","4","0,03","14"
"72273","408","3,42","15"
"72273","0","00,00","16"
"72273","2","0,02","80"
"72273","6770","56,82","22"
"72273","0","00,00","27"
"72273","17","0,14","30"
"72273","28","0,24","44"
"72273","4","0,03","21"
"61921","17","0,94","12"
"61921","687","37,87","13"
"61921","0","00,00","14"
"61921","64","3,53","15"
"61921","0","00,00","16"
"61921","1","0,06","80"
"61921","1034","57,00","22"
"61921","0","00,00","27"
"61921","3","0,17","30"
"61921","7","0,39","44"
"61921","1","0,06","21"
"61255","279","1,98","12"
"61255","5300","37,67","13"
"61255","12","0,09","14"
"61255","643","4,57","15"
"61255","1","0,01","16"
"61255","2","0,01","80"
"61255","7725","54,91","22"
"61255","0","00,00","27"
"61255","43","0,31","30"
"61255","64","0,45","44"
"61255","0","00,00","21"
