"cdabr","vap","pvap","n"
"63398","2","0,05","14"
"63398","135","3,24","15"
"63398","0","00,00","16"
"63398","0","00,00","80"
"63398","2481","59,55","22"
"63398","0","00,00","27"
"63398","8","0,19","30"
"63398","13","0,31","44"
"63398","0","00,00","21"
"63517","2073","64,46","22"
"63517","985","30,63","13"
"63517","114","3,54","15"
"63517","33","1,03","12"
"63517","1","0,03","30"
"63517","10","0,31","44"
"63517","0","00,00","80"
"63517","0","00,00","14"
"63517","0","00,00","21"
"63517","0","00,00","16"
"63517","0","00,00","27"
"63673","917","57,42","22"
"63673","560","35,07","13"
"63673","86","5,39","15"
"63673","21","1,31","12"
"63673","5","0,31","30"
"63673","7","0,44","44"
"63673","0","00,00","80"
"63673","1","0,06","14"
"63673","0","00,00","21"
"63673","0","00,00","16"
"63673","0","00,00","27"
"63010","388","2,20","12"
"63010","5224","29,58","13"
"63010","9","0,05","14"
"63010","617","3,49","15"
"63010","1","0,01","16"
"63010","5","0,03","80"
"63010","11256","63,74","22"
"63010","1","0,01","27"
"63010","54","0,31","30"
"63010","98","0,55","44"
"63010","6","0,03","21"
"63894","16753","65,51","22"
"63894","6933","27,11","13"
"63894","1122","4,39","15"
"63894","544","2,13","12"
"63894","97","0,38","30"
"63894","99","0,39","44"
"63894","6","0,02","80"
"63894","10","0,04","14"
"63894","5","0,02","21"
"63894","4","0,02","16"
"63894","1","0,00","27"
"63959","2248","58,24","22"
"63959","1377","35,67","13"
"63959","153","3,96","15"
"63959","53","1,37","12"
"63959","9","0,23","30"
"63959","17","0,44","44"
"63959","1","0,03","80"
"63959","2","0,05","14"
"63959","0","00,00","21"
"63959","0","00,00","16"
"63959","0","00,00","27"
"61387","28","1,34","12"
"61387","990","47,39","13"
"61387","1","0,05","14"
"61387","41","1,96","15"
"61387","0","00,00","16"
"61387","0","00,00","80"
"61387","1022","48,92","22"
"61387","0","00,00","27"
"61387","4","0,19","30"
"61387","2","0,10","44"
"61387","1","0,05","21"
"64076","774","39,77","22"
"64076","1031","52,98","13"
"64076","91","4,68","15"
"64076","42","2,16","12"
"64076","3","0,15","30"
"64076","2","0,10","44"
"64076","0","00,00","80"
"64076","0","00,00","14"
"64076","1","0,05","21"
"64076","1","0,05","16"
"64076","1","0,05","27"
"61000","67","1,45","12"
"61000","2905","62,81","13"
"61000","1","0,02","14"
"61000","170","3,68","15"
"61000","0","00,00","16"
"61000","1","0,02","80"
"61000","1468","31,74","22"
"61000","0","00,00","27"
"61000","5","0,11","30"
"61000","7","0,15","44"
"61000","1","0,02","21"
"64173","509","45,65","22"
"64173","563","50,49","13"
"64173","27","2,42","15"
"64173","9","0,81","12"
"64173","3","0,27","30"
"64173","4","0,36","44"
"64173","0","00,00","80"
"64173","0","00,00","14"
"64173","0","00,00","21"
"64173","0","00,00","16"
"64173","0","00,00","27"
"64238","905","44,12","22"
"64238","1021","49,78","13"
"64238","75","3,66","15"
"64238","41","2,00","12"
"64238","3","0,15","30"
"64238","5","0,24","44"
"64238","0","00,00","80"
"64238","1","0,05","14"
"64238","0","00,00","21"
"64238","0","00,00","16"
"64238","0","00,00","27"
"64211","3421","58,12","22"
"64211","2161","36,71","13"
"64211","197","3,35","15"
"64211","71","1,21","12"
"64211","10","0,17","30"
"64211","21","0,36","44"
"64211","2","0,03","80"
"64211","1","0,02","14"
"64211","1","0,02","21"
"64211","1","0,02","16"
"64211","0","00,00","27"
"64319","1308","65,83","22"
"64319","546","27,48","13"
"64319","98","4,93","15"
"64319","26","1,31","12"
"64319","5","0,25","30"
"64319","3","0,15","44"
"64319","0","00,00","80"
"64319","0","00,00","14"
"64319","1","0,05","21"
"64319","0","00,00","16"
"64319","0","00,00","27"
"64432","1556","54,16","22"
"64432","1178","41,00","13"
"64432","66","2,30","15"
"64432","53","1,84","12"
"64432","3","0,10","30"
"64432","16","0,56","44"
"64432","1","0,03","80"
"64432","0","00,00","14"
"64432","0","00,00","21"
"64432","0","00,00","16"
"64432","0","00,00","27"
"64653","11024","61,61","22"
"64653","5512","30,81","13"
"64653","894","5,00","15"
"64653","305","1,70","12"
"64653","81","0,45","30"
"64653","59","0,33","44"
"64653","1","0,01","80"
"64653","10","0,06","14"
"64653","5","0,03","21"
"64653","2","0,01","16"
"64653","0","00,00","27"
"64572","2877","59,65","22"
"64572","1666","34,54","13"
"64572","197","4,08","15"
"64572","62","1,29","12"
"64572","13","0,27","30"
"64572","7","0,15","44"
"64572","0","00,00","80"
"64572","1","0,02","14"
"64572","0","00,00","21"
"64572","0","00,00","16"
"64572","0","00,00","27"
"64998","2670","55,51","22"
"64998","1842","38,30","13"
"64998","169","3,51","15"
"64998","87","1,81","12"
"64998","15","0,31","30"
"64998","22","0,46","44"
"64998","0","00,00","80"
"64998","2","0,04","14"
"64998","2","0,04","21"
"64998","1","0,02","16"
"64998","0","00,00","27"
"61204","381","2,64","12"
"61204","5735","39,75","13"
"61204","9","0,06","14"
"61204","1021","7,08","15"
"61204","2","0,01","16"
"61204","10","0,07","80"
"61204","7173","49,71","22"
"61204","4","0,03","27"
"61204","55","0,38","30"
"61204","34","0,24","44"
"61204","5","0,03","21"
"65137","1870","58,86","22"
"65137","1105","34,78","13"
"65137","117","3,68","15"
"65137","37","1,16","12"
"65137","16","0,50","30"
"65137","28","0,88","44"
"65137","1","0,03","80"
"65137","2","0,06","14"
"65137","1","0,03","21"
"65137","0","00,00","16"
"65137","0","00,00","27"
"65170","1656","69,40","22"
"65170","603","25,27","13"
"65170","87","3,65","15"
"65170","28","1,17","12"
"65170","4","0,17","30"
"65170","6","0,25","44"
"65170","0","00,00","80"
"65170","1","0,04","14"
"65170","1","0,04","21"
"65170","0","00,00","16"
"65170","0","00,00","27"
"65331","1966","55,52","22"
"65331","1341","37,87","13"
"65331","138","3,90","15"
"65331","74","2,09","12"
"65331","10","0,28","30"
"65331","10","0,28","44"
"65331","0","00,00","80"
"65331","0","00,00","14"
"65331","2","0,06","21"
"65331","0","00,00","16"
"65331","0","00,00","27"
"65617","589","23,49","22"
"65617","1721","68,65","13"
"65617","143","5,70","15"
"65617","42","1,68","12"
"65617","4","0,16","30"
"65617","2","0,08","44"
"65617","1","0,04","80"
"65617","3","0,12","14"
"65617","0","00,00","21"
"65617","2","0,08","16"
"65617","0","00,00","27"
"66133","1288","49,94","22"
"66133","1151","44,63","13"
"66133","65","2,52","15"
"66133","53","2,06","12"
"66133","6","0,23","30"
"66133","12","0,47","44"
"66133","0","00,00","80"
"66133","3","0,12","14"
"66133","1","0,04","21"
"66133","0","00,00","16"
"66133","0","00,00","27"
"66214","6269","61,27","22"
"66214","3257","31,83","13"
"66214","448","4,38","15"
"66214","182","1,78","12"
"66214","44","0,43","30"
"66214","27","0,26","44"
"66214","2","0,02","80"
"66214","2","0,02","14"
"66214","1","0,01","21"
"66214","0","00,00","16"
"66214","0","00,00","27"
"66311","1421","49,14","22"
"66311","1293","44,71","13"
"66311","103","3,56","15"
"66311","56","1,94","12"
"66311","7","0,24","30"
