"n","vap","pvap"
22,618737,57.8520023524638
13,372826,34.8592869491556
15,47456,4.43714312161471
12,21180,1.98033317843475
44,4161,0.38905412443187
30,3694,0.345389554350235
14,607,0.0567545910911187
21,356,0.0332860534241157
80,258,0.0241230387174771
16,140,0.0130900210094837
27,102,0.00953701530690957
